@relation dataset_quejapp_nominal_utf8_proff

@attribute tipo {Peticion,Reclamo,Felicitacion,Queja,Sugerencia}
@attribute canal {Web,Email,Telefono,Presencial,Escrito,Buzon}
@attribute dia {miercoles,jueves,viernes,martes,lunes}
@attribute mes {enero,marzo,febrero,mayo,abril,junio,julio,agosto,septiembre,diciembre,octubre,noviembre}
@attribute clase {Lento,Rapido,MuyRapido,MuyLento}

@data
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Reclamo,Email,martes,enero,MuyRapido
Peticion,Telefono,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Telefono,martes,enero,MuyRapido
Peticion,Telefono,martes,enero,MuyRapido
Peticion,Telefono,martes,enero,MuyRapido
Peticion,Escrito,martes,enero,Lento
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Telefono,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Telefono,martes,enero,MuyRapido
Peticion,Telefono,martes,enero,MuyRapido
Peticion,Telefono,martes,enero,MuyRapido
Peticion,Web,martes,enero,Rapido
Peticion,Telefono,martes,enero,MuyRapido
Peticion,Escrito,lunes,marzo,MuyRapido
Peticion,Telefono,martes,enero,MuyRapido
Peticion,Web,miercoles,enero,MuyRapido
Queja,Web,jueves,enero,MuyRapido
Peticion,Web,jueves,enero,MuyRapido
Peticion,Web,viernes,enero,Lento
Peticion,Email,jueves,enero,MuyLento
Peticion,Email,jueves,enero,Rapido
Peticion,Email,jueves,enero,MuyLento
Peticion,Web,viernes,enero,MuyLento
Peticion,Web,viernes,enero,Rapido
Peticion,Web,viernes,enero,MuyRapido
Peticion,Web,viernes,enero,Rapido
Queja,Web,viernes,enero,MuyLento
Peticion,Presencial,viernes,enero,MuyRapido
Reclamo,Escrito,viernes,enero,MuyRapido
Peticion,Web,viernes,enero,MuyRapido
Reclamo,Web,lunes,enero,MuyRapido
Queja,Web,lunes,enero,MuyLento
Peticion,Telefono,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Email,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Web,lunes,enero,MuyLento
Peticion,Web,lunes,enero,Lento
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Web,miercoles,enero,Rapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Telefono,lunes,enero,MuyRapido
Peticion,Telefono,lunes,enero,MuyRapido
Peticion,Web,lunes,enero,MuyRapido
Peticion,Web,miercoles,enero,Rapido
Peticion,Web,martes,enero,MuyRapido
Peticion,Email,martes,enero,MuyLento
Peticion,Web,martes,enero,MuyRapido
Reclamo,Email,martes,enero,MuyRapido
Peticion,Escrito,martes,enero,MuyRapido
Peticion,Web,martes,enero,MuyLento
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Web,miercoles,enero,MuyRapido
Peticion,Presencial,miercoles,enero,MuyRapido
Peticion,Presencial,miercoles,enero,MuyRapido
Peticion,Presencial,miercoles,enero,MuyRapido
Peticion,Web,jueves,enero,Lento
Peticion,Presencial,miercoles,enero,MuyRapido
Peticion,Web,viernes,febrero,Lento
Reclamo,Web,miercoles,enero,MuyLento
Peticion,Telefono,miercoles,enero,MuyRapido
Queja,Web,miercoles,enero,Rapido
Peticion,Web,miercoles,enero,Rapido
Peticion,Telefono,jueves,enero,MuyRapido
Peticion,Web,jueves,enero,MuyRapido
Reclamo,Web,jueves,enero,Rapido
Peticion,Presencial,jueves,enero,MuyRapido
Peticion,Telefono,jueves,enero,MuyRapido
Peticion,Telefono,jueves,enero,MuyRapido
Reclamo,Web,jueves,enero,MuyLento
Reclamo,Web,jueves,enero,MuyLento
Peticion,Web,jueves,enero,MuyRapido
Queja,Web,jueves,enero,Rapido
Peticion,Escrito,viernes,enero,MuyRapido
Peticion,Web,viernes,enero,MuyRapido
Peticion,Presencial,viernes,enero,MuyRapido
Peticion,Web,lunes,enero,MuyRapido
Peticion,Web,viernes,enero,Lento
Peticion,Telefono,viernes,enero,MuyRapido
Sugerencia,Email,martes,enero,Lento
Peticion,Web,viernes,enero,MuyRapido
Peticion,Presencial,viernes,enero,MuyRapido
Peticion,Presencial,viernes,enero,MuyRapido
Peticion,Telefono,viernes,enero,MuyRapido
Peticion,Web,viernes,enero,MuyRapido
Peticion,Web,viernes,enero,MuyRapido
Peticion,Telefono,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Telefono,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Telefono,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Web,lunes,febrero,MuyLento
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Telefono,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Email,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Telefono,lunes,enero,MuyRapido
Peticion,Telefono,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Web,lunes,enero,MuyRapido
Peticion,Web,lunes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Email,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Web,martes,enero,MuyRapido
Peticion,Telefono,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Telefono,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Email,martes,enero,MuyRapido
Peticion,Email,martes,enero,MuyRapido
Peticion,Email,martes,enero,Rapido
Peticion,Email,martes,enero,MuyLento
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Queja,Web,martes,enero,Rapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Web,miercoles,febrero,MuyLento
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Reclamo,Web,miercoles,febrero,Lento
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Telefono,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Reclamo,Web,miercoles,febrero,MuyLento
Peticion,Email,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Telefono,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Telefono,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Telefono,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Presencial,miercoles,febrero,MuyRapido
Peticion,Escrito,miercoles,febrero,MuyLento
